"","author_id","id_str","text","geo","description"
"1","15555107","1465836722453893128","@JoeBiden Good holiday present .... no covid spread.","019ab30d475f9f5d",""
"2","134324622","1465857922278301710","@schotziejlk @URaRa_Wisconsin @gregoryjon @MayorOfMKE We do want you to spend your money at bars, restaurants, and other venues in the city! There’s a new COVID variant spreading around the world and we don’t want it here. So, the suggestion (not requirement) is to mask. 

Also, #GetVaccinated already. 💉","2a93711775303f90","Husband. Dad x3. City dweller. Public servant. @MilwaukeeMPS & @UWMadison alum. Proudly serving my community as the @mayorofMKE."
"3","1384725283220037634","1465853038367678466","Federal judge in Louisiana issued a nationwide preliminary injunction Tuesday against President Biden’s COVID-19 vaccine mandate for health care workers.","a592bd6ceb1319f7","Catholic, AZ House of Representative (R-LD1), President AZ State Rifle and Pistol Association, proud Navy dad, war refugee, I fear nothing!"
"4","1446159905216516098","1465914465170374659","@POTUS it's terrible what's going on but our Judicial system needs alot of work.  And where did covid come from? Who is responsible?","3cf05613c1dd6dbd",""
"5","837868945143021568","1465907540496044034","@SpeedyVeez A gentleman interviewed on the radio who is an authority in the Addiction field &amp; he said President Biden had outlined a plan 4 Opioid addiction which is very good but he has not been able to Implement it. I think he is 2 busy with COVID. Get your shot!","61f1d75eb5064808",""
"6","1165274556","1465905348418711569","@tedlieu @laralogan What a joke, trying to quote unquote normalize covid dying is not something that somebody should amount to Laura Logan! We shouldn't have to accept death as a inevitable when it comes to go vid and the doctors who try to solve the viruses before they become pandemics and epidemic","18810aa5b43e76c7","Country Boi Gaymer - Dallas"
"7","1453538927172804608","1465898679156588549","Biden has pulled vaccine mandates for health care workers.  First thing he had done right!","2526edd24c06e60c","Family Man, Loves to talk Politics. #conservative LETS GO BRANDON!     #MAGA #Pro-life"
"8","28576483","1465888703872651273","@cathy27733038 @ashaggyswain @chuckbarr21 @Jim_Jordan You're the one who said that CoViD shots cause heart problems. It up to you to prove it. Not us to disprove it.","1c69a67ad480e1b1","Tiny Human Female,
Nuclear Physicist,
Atheist,
Skydiving coach,
Freediver,
Underwater Model,
Bass Player,
Unapologetically Pro-Nuclear Power,
BLM, ANTI-FAscist."
"9","1690038312","1465980522602061824","@RepJeffDuncan @All435Reps Healthcare workers with no respect for science do not belong in health care. They should be the first in line for a vaccine. If not, maybe they should pick another kind of work. And you should as well for getting people killed for lying  about the dangers of covid.","ab63516264d505b5","Slava Ukraini!
#hatewontwin"
"10","837139599373783042","1465929972095365123","@gwo_design @RepSwalwell Same ultimatum for my in laws and parents. My mother is the only one who got vaccinated. The other three say they’d do anything for their grandkids…..except her the COvid vaccine. Their loss.","c386efac4d8d46d2","Positive Parenting Mom. Wife. Sociologist. Avid Reader. Politically Liberal Texan. 

Trying hard to love my neighbor."
"11","1199596897","1465925852244316162","Joe Biden trying to save lives with his vaccine program and wearing masks.  Republicans seem more interested in filling up the hospital with Covid-19 patients rather than save lives.","73d5b6835d824120","I stand by Joe Biden and Kamala Harris! Democrat party is getting stronger by the great leader in Joe Biden. it's a shame to see the republican party fall apart"
"12","1169392115450884098","1466031619295305738","@LDuderino No issue with anyone who wants to wear a mask, of course you should if you want…but it’s time for the mask mandates to end. This selective mask wearing by Biden and the Dems is clear political theater and it’s making their overall covid message look foolish and contrived","2b622acc57380b8e","I’m a dweller on the threshold"
"13","213120036","1466025955365998598","@svdate I'm willing to bet he also waited until he was on deaths door before seeking treatment too because of ""how it would look for him""
Hell, we know he passed covid along to how many Secret Service agents?","75f5a403163f6f95","A Star dog champion!
Liberal, Bostonian, former Seattlite & 23 yr radio guy"
"14","149186364","1466019270043840517","@RocDocs13 @MeghanMcCain 777K deaths: 48.1M cases = 47.323M survivors which means 98.4% survival rate. 

According to the CDC and WHO, more people died of diarrhea than COVID-19 during the entire pandemic.","4c9ae2d113edcdd8","OFFICIAL Twitter account of Anthony Cristo."
"15","35843707","1466054414435688454","@trapload @RepSwalwell @DevinCow Vaccinated people still need to wear masks. But vaccinated people are much less likely to end up in the hospital and stress our healthcare system. In a few weeks we’re going to have another spike in Covid cases so we all have to contribute to this to help save lives.","0038b1943e3140e9",""
"16","110630162","1466037758124867585","The United States today:

A judge blocked a vaccine mandate for healthcare workers while the CDC mandates 24 hr negative #COVID19 test for anyone flying into the US. 🤦‍♂️","b3103f9bc8f61c75","Cofounder @dune7nyc. I help travel & tech brands grow, organically. Advisor: @okaya_AI, @travelstride360. Deal partner @ganasvc. Dad of 2 boys + 1 fat Labrador"
"17","19535908","1466063162692747264","@samstein Not in my universe 🙂

Here the most pressing news incl 
- Biden not wearing a mask in Nantucket while shopping, 
- Cuomo getting suspended...finally &amp; how 
-Biden's War on Oil is spiking ⛽ prices 

Obviously vaccine mandates don't work and DeSantis has the secret MAGAA sauce 😜","18810aa5b43e76c7","Generalist 🌎"
