"","author_id","id_str","text","geo","description"
"1","3960118295","1509842276985581570","@davidmweissman @Libertas_Ohio @MarshaBlackburn He provided COViD relief, shots in the arms and got the economy roaring back voila demand rose faster than supply","6417871953fa5e86","preacherman call me a sinner but his little girl calls me a saint Talking Loud n Sayin Noting James Brown.the long strange trip contn’s...just gotta Polk around"
"2","278527548","1509787702178238481","@BigBossSteve23 @EliLake They are no different on inflation, Obama/Clinton/Biden forced Russia into the Ukraine even after the Clinton Foundation made 100's of millions from Russian oligarchs. You were lied to about COVID and vaccines. Vote 3rd party for all of us.","aeca883f15e2aa85","Hockey fan, mountain biker, beer drinker and big mouth. My pronouns are Now and Later."
"3","2323007287","1509740901744185345","@colbertlateshow @StephenAtHome Thank you for your segment on the @CBSNews hiring of Mick Mulvaney as a political analyst.  Yes, Mick is just what network news wants - an analyst who called Covid a hoax.","010b0fb4568028f0","Loves travel, good food, good books, classical music, and photography.  Favorite current TV show - Blue Bloods."
"4","1152700521775603712","1509916906588979206","@GregAbbott_TX My thoughts are, Covid-19 is just an awful flu, the Dems dreamed up this Pandemic to bash Donald J., The cry baby Dems still whining for Killerys loss. Just sayin'","1c69a67ad480e1b1",""
"5","913669884399181824","1509973439154561031","@RepJayapal @POTUS There are 5 million less people working than pre Covid, returning to work after lockouts, closures and layoffs is not job creation! Let us know when employment reaches pre Covid levels?","832feeba7eb96a20","NHL ,NCAA football, Baseball, MAGA
Only here to help knock down the left,and vent my frustrations with our government who doesnt seem to care about the citizens"
"6","1499843650280255490","1509970077180960774","@JackPosobiec COVID. ? Wonder if Government paid for this awful case of a disease?","4ec01c9dbc693497","79 years old, and am very proud to be a part of Make America Great Again. No DM's. A Froggy Vet in Tet. Did not volunteer, was Drafted. Made the best of it."
"7","1499843650280255490","1509969638863650817","@JackPosobiec Who didn't know that? COVID My Eye.","4ec01c9dbc693497","79 years old, and am very proud to be a part of Make America Great Again. No DM's. A Froggy Vet in Tet. Did not volunteer, was Drafted. Made the best of it."
"8","1469953578357903361","1509954363669856260","@VP @POTUS @AC360 Court documents have any of you three use my face as a controller for any robots or my eardrop as a controller for among us or any other cure for COVID-19 making of a millionaire","8173485c72e78ca5",""
"9","3803969715","1509936417727782918","Millions of migrants are coming to the US and Biden and the CDC have no health concerns but US citizens need many many vaccines so we will not give the migrants any diseases or Covid.","7142eb97ae21e839",""
"10","35120269","1510027011489779721","Canada just dropped entry COVID test requirements for vaccinated folks - hoping to see @CDCgov and @POTUS drop for the US. It’s time to get back to normal travel again. Show support for this by liking and retweeting. Our travel voices should be heard. #travel #travelblogger","4ec01c9dbc693497","professional traveler. Florida Resident. Disney expert. For your dream vacation: "
