"","author_id","id_str","public_metrics.x.retweet_count","public_metrics.x.reply_count","public_metrics.x.like_count","public_metrics.x.quote_count","created_at.x_date","text","profile_image_url","description","public_metrics.y.followers_count","public_metrics.y.following_count","public_metrics.y.tweet_count","public_metrics.y.listed_count","screen_name","name","created_at.y_date","location"
"1","487967411","1498463702978371589",   0,   0,   0,   0,"2022-03-01","@PalmerReport @jcstaton1 Putin is scared to death of getting covid, can you imagine how scared he would be of getting nuked... He's way too narcissistic to give his life for anything","https://pbs.twimg.com/profile_images/1504488042563719171/qMJMHEpA_bigger.jpg","I started on here for sports updates... Then Trump happened 😠 now it's all about the #resistance, God said he created us all equal.. and I believe him, NO DM'S",   4954,   5470,  62416,     14,"Purrrnella59","«««🕊 Kim(ba)🕊»»»","2012-02-09","Michigan, USA"
"2","597547043","1498455538031640577",   0,   0,   0,   0,"2022-03-01","@marcorubio I've seen 2 kids be COVID tested in 30 seconds. And you're trying to say you don't have time?!?

Obviously you don't even care if the lie is believable. Go sip some more water...","https://pbs.twimg.com/profile_images/1141898792402395136/b3YaFOdn_bigger.jpg","Autistic Mainer. Lisbon HS 🎶 teacher; @jlb6599's Hubby; @steelers @penguins @pirates fan; Lisbon EA President; @MaineEA BoD, District J; Suffer no fools.",    935,   4943,  20011,      3,"loudguyrickyb","Richard (Rick) Beaulé (He/Him/His) 🇺🇦","2012-06-02","Maine, USA"
"3","1166600219888410630","1498454571479449601",   0,   0,   0,   0,"2022-03-01","Air ports: wear a mask. 

Airport bars, restaurants,  bathrooms, chewing gum, holding a bottle of any fluid in your hand: 
To heck with Covid and Putin ❤️","https://pbs.twimg.com/profile_images/1333477799307464707/ZdWbUxMD_bigger.jpg","Things are getting hairy.",     50,    246,    546,      0,"Jumpinjohn11","S. Alexander","2019-08-28","West Virginia, USA"
"4","1438558496002383878","1498452204772020225",   0,   0,   3,   0,"2022-03-01","If we want to end COVID here, we have to end it everywhere. Tomorrow I’ll be meeting virtually w/@ChrisVanHollen to discuss the need for funding to get vaccines, tests, and treatments to every country, not just wealthy ones. #ONEOnTheHill","https://pbs.twimg.com/profile_images/1438558608791322627/gJDQNllm_bigger.jpg","Non profit organization aimed at ending poverty and preventable disease by 2030. Frostburg State University Chapter",      7,     45,     73,      0,"ONEatFSU","ONEatFSU","2021-09-16","Location not disclosed by user"
"5","1363899000362041348","1498475184365449216",   0,   0,   0,   0,"2022-03-01","@KurtSchlichter @JesseKellyDC My 3 year old, behind her Covid mask, asked me ""Daddy, will the evil Putin send bad soldiers to kill you and Mommy like he is doing to all the Daddies and Mommies  in Ukraine?"" I had no answer for her and was literally shaking.","https://pbs.twimg.com/profile_images/1417246507724591106/7SthFZGY_bigger.jpg","Dade County born and raised",    277,   1209,  10926,      0,"BayKvg","KVGCutlerBay","2021-02-22","Location not disclosed by user"
"6","1164051654834053120","1498471693584674819",   0,   0,   1,   0,"2022-03-01","@JulesMangoFilm You must choose not to be depressed. Even Queen Elizabeth II tested positive for COVID-19 and she always seems happy.","https://pbs.twimg.com/profile_images/1556624761962258433/_DVveBak_bigger.jpg","I was born and raised in Baltimore, Maryland. I've read the Bible and am a Beatles fan. I am not Dutch painter Vincent Van Gogh, who died in 1890.",    242,     77,  46360,      2,"adwebbjr","ADWJr","2019-08-21","Baltimore, MD"
"7","7116722","1498652285752201217",   0,   0,   4,   0,"2022-03-01","I could see Biden showing up tonight not wearing a mask to illustrate that he beat COVID.","https://pbs.twimg.com/profile_images/1345210021311893505/2NiPYh2__bigger.jpg","Former fake radio show host.  Public nuisance.",    708,   1645,  14578,      9,"DDDULUTH","Mr. Golden","2007-06-27","Lovely Duluth, MN"
"8","60946832","1498641072284700675",   0,   0,   1,   0,"2022-03-01","@AndrewJBates46 @WHCOS As predicted, Biden did nothing but make covid worse, and now he wants credit for curing it. We know who locked us down, Joe. We know who tried to force us to get shots. We know who has lied about side effects.","https://pbs.twimg.com/profile_images/2652527550/1bbbf4bb1daeb5ab7ab8c361c531fb54_bigger.jpeg","Independent journalist/conservative political analyst. Father. Girls' basketball coach. LSU, Astros, Cowboys, Wizards, Mavericks",   2443,   4975,  52535,     41,"McNicollb","Brian McNicoll","2009-07-28","Alexandria, Va."
"9","811974941310468096","1498538659355652103",   0,   4,   0,   0,"2022-03-01","@JoeKennewick @TravisC94307041 @GovInslee Google ""Covid-19 deaths in Washington state"".
You'll see that CV-19 deaths for the entire pandemic have gone up about 50% in just the last six months, and they're not receding.
In fact, if Gov Inslee weren't afraid of an Ottawa event, we wouldn't demask at all.","https://pbs.twimg.com/profile_images/872868308789321728/GfcQmypB_bigger.jpg","Now researching the spread of the deadlier CV-19 variant in North America and Eurasia. Also developed a free method to help families find affordable colleges.",    144,    338,   7546,      3,"MarkWarns","Mark Warns","2016-12-22","Poulsbo, WA, USA"
"10","1250100717651623937","1498538039504687105",   0,   0,   0,   0,"2022-03-01","@laurenboebert Economy Humming

COVID possibly endemic. 

Infrastructure for CO

Republicans, proposed br Senator @SenRickScott want too RAISE TO MIDDLE CLASS.","https://pbs.twimg.com/profile_images/1585829812345737217/l1KfkNKM_bigger.jpg","100% BLUE, retired 
mother, wife, & Nana:)",   2219,   4974,  70182,      7,"humanity195555","JFMMEM","2020-04-14","Ohio, USA"
